repo_name,readme_length,github_wiki_length,readme_completeness,docstring_coverage,documentation_percentage,documentation_up_to_date,documentation_readability,code_examples_ratio
BRS-KB,24863,0,0.5333333333333333,0.0,0.5599026581804568,0.1935483870967742,39.09037155967572,0.0
cacao-password,3504,0,0.2666666666666666,0.9565217391304348,0.2488888888888888,0.0,26.91899360093078,0.0
yubikey-manager,8055,0,0.2666666666666666,0.2382716049382715,0.1495102709706924,0.0,22.643158660844254,0.0
censys-python,5225,0,0.4,0.4912516823687752,0.1954143878838872,0.1422222222222222,15.581933653671047,0.0
censys-cloud-connector,2143,0,0.0666666666666666,0.558041958041958,0.2048973143759873,0.0254545454545454,16.415130174315312,0.0
censys-maltego,2414,0,0.1333333333333333,0.5494505494505495,0.0728429985855728,0.0,15.46053634085213,0.0
dossier,8499,0,0.2666666666666666,0.0153846153846153,0.0051201260338716,0.0,11.472849697034697,0.0
certbot-dns-bookmyname,1218,0,0.0666666666666666,0.4210526315789473,0.1483253588516746,0.1111111111111111,17.979360465116283,0.0
certbot-dns-clouddns,4154,0,0.2,0.2361111111111111,0.2139737991266375,0.0,17.607297146833684,0.0
certbot-dns-corenetworks,2940,0,0.2,0.4230769230769231,0.1560509554140127,0.0,25.29381045115223,0.0
certbot-dns-dnspod-109,4574,0,0.2,0.2941176470588235,0.2810707456978967,0.0588235294117647,14.00082216001179,0.0
certbot-dns-dynu,3084,0,0.3333333333333333,0.4666666666666666,0.0987654320987654,0.2,19.095501309835672,0.0
certbot-dns-dynu-dev,5068,0,0.2666666666666666,0.679245283018868,0.1115618661257606,0.0434782608695652,22.40014343086633,0.0
certbot-dns-dynudns,2235,0,0.2666666666666666,0.25,0.0689655172413793,0.1666666666666666,16.856712659537774,0.0
certbot-dns-exonet,2423,0,0.1333333333333333,0.9803921568627452,0.344758064516129,0.0,18.442164794007493,0.0
certbot-dns-joker,4390,0,0.2,0.1944444444444444,0.2635514018691589,0.0666666666666666,15.488534278959817,0.0
certbot-dns-websupport,4824,0,0.1333333333333333,0.303030303030303,0.0989247311827957,0.0714285714285714,20.397124573378843,0.0
certbot-dns-yandex,1657,0,0.2,0.2631578947368421,0.066079295154185,0.1666666666666666,20.0331223628692,0.0
certbot-nginx-unit,3106,0,0.2666666666666666,0.1851851851851852,0.0826086956521739,0.0,42.567475728155344,0.0
certleak,4431,0,0.2666666666666666,0.5898123324396782,0.1757373061720887,0.1744186046511628,17.92947130336444,0.0
cewler,8913,0,0.3333333333333333,0.119047619047619,0.0304093567251462,0.0384615384615384,17.456203703703704,0.0
cfripper,3942,0,0.0666666666666666,0.0838235294117646,0.101679565288984,0.116580310880829,18.8323005319149,0.0
python-cfssl-cli,1347,0,0.0666666666666666,0.6451612903225806,0.289738430583501,0.0,16.863162729658793,0.0
CheckPasswords,10385,0,0.3333333333333333,0.4264705882352941,0.2705410821643286,0.5,18.573497767405183,0.0
CheckRequirements,8369,0,0.2,0.25,0.0384615384615384,1.0,17.16391902215432,0.0
chipsec,3559,40007,0.1333333333333333,0.1150492264416315,0.1658236538650152,0.1858465608465608,16.332356919293236,0.0
cicada-mpc,800,0,0.0666666666666666,0.4382530120481928,0.4498943225712411,0.1166666666666666,16.709005130974884,0.0
cipher_solver,2966,0,0.2,0.4615384615384615,0.3468426013195099,0.238095238095238,11.922142307692308,0.0
